date,promo,acts,location,city,state
2023-09-23,,Starfish Prime,Inaugural backyard show and afterparty,San Francisco,CA
2023-10-06,KSFS presents College Radio Station Day:,Starfish Prime,SFSU Malcolm X Plaza,San Francisco,CA
2023-10-28,,Starfish Prime / Double Helix Peace Treaty / julip,,San Francisco,CA
2023-11-18,,Telehealth / Spirit Award / Starfish Prime / Toothache,Tamarack,Oakland,CA
2023-11-25,,Windsor Terrace / Treasure Island / eSex / Starfish Prime,Thrillhouse Records,San Francisco,CA
2023-12-21,,Valentina Bludgeoned / Double Helix Peace Treaty / Starfish Prime,The Kilowatt,San Francisco,CA
2024-01-06,,Cime / My Entire Body / Swell Foop / Starfish Prime,Art House Gallery,Berkeley,CA
2024-03-30,,Starfish Prime / PGOAT / Dovetail,Art House Gallery,Berkeley,CA
2024-04-04,The Faight presents:,Loon / Daisys Room / Starfish Prime,475 Haight Street,San Francisco,CA
2024-04-26,,Plum / PGOAT / Starfish Prime,The Kilowatt,San Francisco,CA
2024-07-04,,Double Helix Peace Treaty / Starfish Prime / Preschool,Golden Gate Park,San Francisco,CA
